VAR;LABEL;TYPE;INPUT;QUESTION
DE01_01;career level: Undergraduate student;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_02;career level: Post-graduate student (including research Masters);DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_03;career level: PhD student;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_04;career level: Post-doc/Research Associate;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_05;career level: Lecturer/Assistant Professor;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_06;career level: Senior Lecturer/Associate Professor;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_07;career level: Reader;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_08;career level: Professor;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE01_09;career level: Other;DICHOTOMOUS;CHECKBOX;What best describes your current position?
DE02_01;research experience: [Keine Beschreibung] 01;ORDINAL;SCALE;How would you describe your current research experience?
DE03;publishing;NOMINAL;SELECTION;How many of your publications fall under the scope of terrorism studies?
DE04_01;research experience_test: [Keine Beschreibung] 01;ORDINAL;SCALE;"How would you describe your current research experience?

By clicking on the purple marker you can place it in any position along the slider."
DE05_01;Do_other: If other, please specify;TEXT;OPEN;
FI01_01;comments: [01];TEXT;OPEN;Do you have any questions or comments about this survey? Is there anything you would like to share about open science in terrorism studies that was not captured in the survey? Let us know here!
ET01;consent: Ausweichoption (negativ) oder Anzahl ausgewählter Optionen;NOMINAL;SYSTEM;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_05;consent: I confirm that I am 18 years old or older.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_07;consent: I voluntarily agree to take part in this study.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_01;consent: I confirm that I have read and understood the Information Sheet for the above study. I have had an opportunity to consider the information and what will be expected of me. I have also had the opportunity to ask questions, which have been answered to my satisfaction.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_02;consent: I understand that my participation is voluntary and that I can stop the survey at any time without giving a reason.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_10;consent: I understand that once I submitted my answers, my responses can't be removed.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_09;consent: I understand that I remain fully anonymous, and that I won't be identifiable in any publications that report the results of this survey.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_03;consent: I understand that the data collected in this survey will be made publicly available. I know that no personal information is collected.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_04;consent: I understand that the results of this survey will be reported in academic publications or conference presentations.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_06;consent: I am aware of who I should contact if I wish to lodge a complaint.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
ET01_08;consent: I am happy for the data I provide to be archived securely at UCL for 10 years.;DICHOTOMOUS;CHECKBOX;"If you have any questions arising from the Information Sheet, please contact the researchers by email at s.schumann@ucl.ac.uk. If you want to participate in the study, please complete this consent form.

By ticking each box below, I am consenting to the respective statement."
TIME001;Verweildauer Seite 1;METRIC;SYSTEM;
TIME002;Verweildauer Seite 2;METRIC;SYSTEM;
TIME003;Verweildauer Seite 3;METRIC;SYSTEM;
TIME004;Verweildauer Seite 4;METRIC;SYSTEM;
TIME005;Verweildauer Seite 5;METRIC;SYSTEM;
TIME006;Verweildauer Seite 6;METRIC;SYSTEM;
TIME007;Verweildauer Seite 7;METRIC;SYSTEM;
TIME008;Verweildauer Seite 8;METRIC;SYSTEM;
TIME_SUM;Verweildauer gesamt (ohne Ausreißer);METRIC;SYSTEM;
MAILSENT;Versandzeitpunkt der Einladungsmail (nur für nicht-anonyme Adressaten);TIME;SYSTEM;
LASTDATA;Zeitpunkt als der Datensatz das letzte mal geändert wurde;TIME;SYSTEM;
FINISHED;Wurde die Befragung abgeschlossen (letzte Seite erreicht)?;BOOL;SYSTEM;
Q_VIEWER;Hat der Teilnehmer den Fragebogen nur angesehen, ohne die Pflichtfragen zu beantworten?;BOOL;SYSTEM;
LASTPAGE;Seite, die der Teilnehmer zuletzt bearbeitet hat;METRIC;SYSTEM;
MAXPAGE;Letzte Seite, die im Fragebogen bearbeitet wurde;METRIC;SYSTEM;
MISSING;Anteil fehlender Antworten in Prozent;METRIC;SYSTEM;
MISSREL;Anteil fehlender Antworten (gewichtet nach Relevanz);METRIC;SYSTEM;
TIME_RSI;Maluspunkte für schnelles Ausfüllen;METRIC;SYSTEM;
DEG_TIME;Maluspunkte für schnelles Ausfüllen;METRIC;SYSTEM;
